"MB_CODE_2011","LGA_CODE_2011","LGA_NAME_2011","STATE_CODE_2011","STATE_NAME_2011","AREA_ALBERS_SQKM"
"50000460000","50080","Albany (C)","5","Western Australia",0.0230455
"50000470000","50080","Albany (C)","5","Western Australia",0.0699043
"50000480000","50080","Albany (C)","5","Western Australia",0.0780811
"50000491000","50080","Albany (C)","5","Western Australia",0.103077
"50000492000","50080","Albany (C)","5","Western Australia",0.0486355
"50000500000","50080","Albany (C)","5","Western Australia",0.076003
"50000510000","50080","Albany (C)","5","Western Australia",0.0357681
"50000520000","50080","Albany (C)","5","Western Australia",0.0380636
"50000530000","50080","Albany (C)","5","Western Australia",0.0374232
"50000540000","50080","Albany (C)","5","Western Australia",0.0428923
"50000550000","50080","Albany (C)","5","Western Australia",0.0902535
"50000560000","50080","Albany (C)","5","Western Australia",0.0621911
"50000570000","50080","Albany (C)","5","Western Australia",0.0658832
"50000580000","50080","Albany (C)","5","Western Australia",0.0333997
"50000590000","50080","Albany (C)","5","Western Australia",0.0515371
"50000600000","50080","Albany (C)","5","Western Australia",0.401729
"50000610000","50080","Albany (C)","5","Western Australia",0.104183
"50000620000","50080","Albany (C)","5","Western Australia",0.0426081
"50000630000","50080","Albany (C)","5","Western Australia",0.0590751
"50000640000","50080","Albany (C)","5","Western Australia",0.0244794
"50000650000","50080","Albany (C)","5","Western Australia",0.127924
"50000660000","50080","Albany (C)","5","Western Australia",0.0281697
"50000670000","50080","Albany (C)","5","Western Australia",0.0734279
"50000680000","50080","Albany (C)","5","Western Australia",0.110722
"50000690000","50080","Albany (C)","5","Western Australia",0.374078
"50000700000","50080","Albany (C)","5","Western Australia",0.0629949
"50000710000","50080","Albany (C)","5","Western Australia",0.0459918
"50000720000","50080","Albany (C)","5","Western Australia",0.0617302
"50000730000","50080","Albany (C)","5","Western Australia",0.695988
"50000740000","50080","Albany (C)","5","Western Australia",0.0965046
"50000750000","50080","Albany (C)","5","Western Australia",0.0077376
"50000760000","50080","Albany (C)","5","Western Australia",0.0125808
"50000770000","50080","Albany (C)","5","Western Australia",0.0407752
"50000780000","50080","Albany (C)","5","Western Australia",0.0556519
"50000790000","50080","Albany (C)","5","Western Australia",0.0493573
"50000800000","50080","Albany (C)","5","Western Australia",0.0196246
"50000810000","50080","Albany (C)","5","Western Australia",0.104051
"50000820000","50080","Albany (C)","5","Western Australia",0.0718824
"50000830000","50080","Albany (C)","5","Western Australia",0.0361283
"50000840000","50080","Albany (C)","5","Western Australia",0.0665502
"50000850000","50080","Albany (C)","5","Western Australia",0.0586124
"50000860000","50080","Albany (C)","5","Western Australia",0.0480953
"50000870000","50080","Albany (C)","5","Western Australia",0.0566304
"50000880000","50080","Albany (C)","5","Western Australia",0.0399117
"50000890000","50080","Albany (C)","5","Western Australia",0.0554905
"50000900000","50080","Albany (C)","5","Western Australia",0.643364
