date,lga_code_2011,Index of Education and Occupation Maximum score for SA1s in area,Total selected
2011,48340,1091,1091
2011,48410,1121,1121
2011,48540,1146,1146
2011,48640,1121,1121
2011,48750,1066,1066
2011,48830,1067,1067
2011,49399,1121,1121
2011,50080,1163,1163
2011,50210,1221,1221
2011,50250,1040,1040
2011,50280,1115,1115
2011,50350,1085,1085
2011,50420,1179,1179
2011,50490,1096,1096
2011,50560,1071,1071
2011,50630,1116,1116
2011,50770,1071,1071
2011,50840,1097,1097
2011,50910,1065,1065
2011,50980,1138,1138
2011,51080,1082,1082
2011,51120,1079,1079
2011,51190,1158,1158
2011,51260,1188,1188
2011,51310,1190,1190
2011,51330,1213,1213
2011,51400,1200,1200
2011,51470,1070,1070
2011,51540,1118,1118
2011,51610,1088,1088
2011,51680,1177,1177
2011,51750,1141,1141
2011,51820,1281,1281
2011,51890,1132,1132
2011,51960,1027,1027
2011,52030,1098,1098
2011,52100,1076,1076
2011,52170,1148,1148
2011,52240,1082,1082
2011,52310,1044,1044
2011,52380,938,938
2011,52450,1037,1037
2011,52520,1083,1083
2011,52590,1139,1139
2011,52660,1141,1141
2011,52730,1096,1096
2011,52800,1075,1075
2011,52870,1110,1110
2011,52940,1066,1066
2011,53010,1049,1049
2011,53080,977,977
2011,53150,1129,1129
2011,53220,1068,1068
2011,53290,1125,1125
2011,53360,1074,1074
2011,53430,1106,1106
2011,53520,1159,1159
2011,53570,1094,1094
2011,53640,1078,1078
2011,53710,1057,1057
2011,53780,1217,1217
2011,53920,830,830
2011,53990,1191,1191
2011,54060,1078,1078
2011,54130,1077,1077
2011,54170,1250,1250
2011,54200,1172,1172
2011,54280,1278,1278
2011,54340,1078,1078
2011,54410,1023,1023
2011,54480,1078,1078
2011,54550,1087,1087
2011,54620,1053,1053
2011,54690,1031,1031
2011,54760,1071,1071
2011,54830,1195,1195
2011,54900,1079,1079
2011,54970,851,851
2011,55040,1042,1042
2011,55110,1168,1168
2011,55180,1120,1120
2011,55250,891,891
2011,55320,1173,1173
2011,55390,786,786
2011,55460,1115,1115
2011,55530,1083,1083
2011,55600,1099,1099
2011,55670,1078,1078
2011,55740,1178,1178
2011,55810,1134,1134
2011,55880,1037,1037
2011,55950,1086,1086
2011,56020,1073,1073
2011,56090,1202,1202
2011,56160,883,883
2011,56230,1195,1195
2011,56300,1032,1032
2011,56370,1089,1089
2011,56450,1129,1129
2011,56520,1058,1058
2011,56580,1219,1219
2011,56620,654,654
2011,56730,1185,1185
2011,56790,1153,1153
2011,56860,946,946
2011,56930,1145,1145
2011,57000,1069,1069
2011,57080,1122,1122
2011,57140,1070,1070
2011,57210,1083,1083
2011,57280,1093,1093
2011,57350,1045,1045
2011,57420,1062,1062
2011,57490,1246,1246
2011,57560,1156,1156
2011,57630,955,955
2011,57700,1221,1221
2011,57770,1002,1002
2011,57840,1156,1156
2011,57910,1233,1233
2011,57980,1124,1124
2011,58050,1286,1286
2011,58190,1061,1061
2011,58260,1080,1080
2011,58330,1124,1124
2011,58400,949,949
2011,58470,869,869
2011,58510,1087,1087
2011,58540,1025,1025
2011,58570,1139,1139
2011,58610,1053,1053
2011,58680,1064,1064
2011,58760,1228,1228
2011,58820,1126,1126
2011,58890,1065,1065
2011,59030,1016,1016
2011,59100,1051,1051
2011,59170,1087,1087
2011,59250,771,771
2011,59310,1083,1083
2011,59320,1010,1010
2011,59330,1011,1011
2011,59340,1199,1199
2011,59350,927,927
2011,59360,1083,1083
2011,59370,1071,1071
2011,60210,1027,1027
2011,60410,1110,1110
2011,60610,1107,1107
2011,60810,1083,1083
2011,61010,1009,1009
2011,61210,1088,1088
2011,61410,1153,1153
2011,61510,1080,1080
2011,61610,1110,1110
2011,61810,1039,1039
2011,62010,991,991
2011,62210,1053,1053
2011,62410,1031,1031
2011,62610,1080,1080
2011,62810,1158,1158
2011,63010,1087,1087
2011,63210,1063,1063
2011,63410,1067,1067
2011,63610,1129,1129
2011,63810,1069,1069
2011,64010,1122,1122
2011,64210,1135,1135
2011,64610,1132,1132
2011,64810,1106,1106
2011,65010,1061,1061
2011,65210,1010,1010
2011,65410,1063,1063
2011,65610,1021,1021
2011,65810,1135,1135
2011,70200,1158,1158
2011,70420,969,969
2011,70540,560,560
2011,70620,891,891
2011,70700,928,928
2011,71000,1157,1157
2011,71300,960,960
2011,72200,1089,1089
2011,72300,1164,1164
2011,72330,880,880
2011,72800,1179,1179
2011,73600,1009,1009
2011,74050,759,759
2011,74500,1002,1002
2011,74560,1011,1011
2011,74660,996,996
2011,79399,1030,1030
2011,89399,1263,1263
