"MB_CODE_2011","LGA_CODE_2011","LGA_NAME_2011","STATE_CODE_2011","STATE_NAME_2011","AREA_ALBERS_SQKM"
"40000651000","40070","Adelaide (C)","4","South Australia",0.00932843
"40000652000","40070","Adelaide (C)","4","South Australia",0.00635822
"40000660000","40070","Adelaide (C)","4","South Australia",0.0182011
"40000671000","40070","Adelaide (C)","4","South Australia",0.0213795
"40000672000","40070","Adelaide (C)","4","South Australia",0.00593226
"40000673000","40070","Adelaide (C)","4","South Australia",0.0139623
"40000674000","40070","Adelaide (C)","4","South Australia",0.00882394
"40000681000","40070","Adelaide (C)","4","South Australia",0.0048174
"40000682000","40070","Adelaide (C)","4","South Australia",0.00381711
"40000683000","40070","Adelaide (C)","4","South Australia",0.00885468
"40000684000","40070","Adelaide (C)","4","South Australia",0.00731059
"40000700000","40070","Adelaide (C)","4","South Australia",0.0151567
"40000721000","40070","Adelaide (C)","4","South Australia",0.0143239
"40000722000","40070","Adelaide (C)","4","South Australia",0.0110555
"40000723000","40070","Adelaide (C)","4","South Australia",0.0026542
"40000740000","40070","Adelaide (C)","4","South Australia",0.0491766
"40000760000","40070","Adelaide (C)","4","South Australia",0.00996768
"40000770000","40070","Adelaide (C)","4","South Australia",0.00523966
"40000780000","40070","Adelaide (C)","4","South Australia",0.00454803
"40000790000","40070","Adelaide (C)","4","South Australia",0.0103517
"40000800000","40070","Adelaide (C)","4","South Australia",0.00425901
"40000820000","40070","Adelaide (C)","4","South Australia",0.0395063
"40000830000","40070","Adelaide (C)","4","South Australia",0.0137893
"40000840000","40070","Adelaide (C)","4","South Australia",0.0178693
"40000850000","40070","Adelaide (C)","4","South Australia",0.0051951
"40000861000","40070","Adelaide (C)","4","South Australia",0.0436767
"40000862000","40070","Adelaide (C)","4","South Australia",0.012416
"40000870000","40070","Adelaide (C)","4","South Australia",0.010306
"40000880000","40070","Adelaide (C)","4","South Australia",0.0265427
"40000891000","40070","Adelaide (C)","4","South Australia",0.0123022
"40000892000","40070","Adelaide (C)","4","South Australia",0.00355238
"40000900000","40070","Adelaide (C)","4","South Australia",0.012319
"40000910000","40070","Adelaide (C)","4","South Australia",0.0185024
"40000921000","40070","Adelaide (C)","4","South Australia",0.00904013
"40000922000","40070","Adelaide (C)","4","South Australia",0.00163342
"40000930000","40070","Adelaide (C)","4","South Australia",0.00407204
"40000940000","40070","Adelaide (C)","4","South Australia",0.00911251
"40000950000","40070","Adelaide (C)","4","South Australia",0.00988073
"40000960000","40070","Adelaide (C)","4","South Australia",0.00703422
"40000981000","40070","Adelaide (C)","4","South Australia",0.0293618
"40000982000","40070","Adelaide (C)","4","South Australia",0.00725672
"40000991000","40070","Adelaide (C)","4","South Australia",0.02379
"40000992000","40070","Adelaide (C)","4","South Australia",0.0115287
"40001000000","40070","Adelaide (C)","4","South Australia",0.0187615
"40001010000","40070","Adelaide (C)","4","South Australia",0.0215339
"40001020000","40070","Adelaide (C)","4","South Australia",0.0197892
"40001031000","40070","Adelaide (C)","4","South Australia",0.00891046
"40001032000","40070","Adelaide (C)","4","South Australia",0.00328159
"40001041000","40070","Adelaide (C)","4","South Australia",0.00831044
"40001042000","40070","Adelaide (C)","4","South Australia",0.00474389
"40001060000","40070","Adelaide (C)","4","South Australia",0.00952669
"40001080000","40070","Adelaide (C)","4","South Australia",0.00623794
"40001091000","40070","Adelaide (C)","4","South Australia",0.00444974
"40001093000","40070","Adelaide (C)","4","South Australia",0.00616513
"40001094000","40070","Adelaide (C)","4","South Australia",0.0117312
"40001095000","40070","Adelaide (C)","4","South Australia",0.0148311
"40001100000","40070","Adelaide (C)","4","South Australia",0.0114705
"40001110000","40070","Adelaide (C)","4","South Australia",0.00740569
"40001120000","40070","Adelaide (C)","4","South Australia",0.00739116
"40001130000","40070","Adelaide (C)","4","South Australia",0.00837053
"40001140000","40070","Adelaide (C)","4","South Australia",0.00948068
"40001150000","40070","Adelaide (C)","4","South Australia",0.0111065
