"MB_CODE_2011","LGA_CODE_2011","LGA_NAME_2011","STATE_CODE_2011","STATE_NAME_2011","AREA_ALBERS_SQKM"
"70000690000","70200","Alice Springs (T)","7","Northern Territory",0.992504
"70000700000","70200","Alice Springs (T)","7","Northern Territory",1.75379
"70000710000","70200","Alice Springs (T)","7","Northern Territory",43.4677
"70000721000","70200","Alice Springs (T)","7","Northern Territory",25.3298
"70000722000","70200","Alice Springs (T)","7","Northern Territory",0.0810319
"70000731000","70200","Alice Springs (T)","7","Northern Territory",3.97278
"70000732000","70200","Alice Springs (T)","7","Northern Territory",2.65223
"70000740000","70200","Alice Springs (T)","7","Northern Territory",0.142402
"70000750000","70200","Alice Springs (T)","7","Northern Territory",7.97811
"70000760000","70200","Alice Springs (T)","7","Northern Territory",0.0553834
"70000770000","70200","Alice Springs (T)","7","Northern Territory",0.0267618
"70000781000","70200","Alice Springs (T)","7","Northern Territory",1.10473
"70000782000","70200","Alice Springs (T)","7","Northern Territory",0.168493
"70000783000","70200","Alice Springs (T)","7","Northern Territory",0.0223114
"70000790000","70200","Alice Springs (T)","7","Northern Territory",0.0527777
"70000800000","70200","Alice Springs (T)","7","Northern Territory",0.832705
"70000810000","70200","Alice Springs (T)","7","Northern Territory",0.0698124
"70000820000","70200","Alice Springs (T)","7","Northern Territory",0.0461204
"70000830000","70200","Alice Springs (T)","7","Northern Territory",0.059367
"70000840000","70200","Alice Springs (T)","7","Northern Territory",0.0614437
"70000850000","70200","Alice Springs (T)","7","Northern Territory",0.204207
"70000860000","70200","Alice Springs (T)","7","Northern Territory",0.0210934
"70000870000","70200","Alice Springs (T)","7","Northern Territory",0.071841
"70000880000","70200","Alice Springs (T)","7","Northern Territory",0.0188701
"70000890000","70200","Alice Springs (T)","7","Northern Territory",0.0694593
"70000900000","70200","Alice Springs (T)","7","Northern Territory",0.0760427
"70000910000","70200","Alice Springs (T)","7","Northern Territory",0.0784785
"70000920000","70200","Alice Springs (T)","7","Northern Territory",0.107834
"70000930000","70200","Alice Springs (T)","7","Northern Territory",0.0618812
"70000940000","70200","Alice Springs (T)","7","Northern Territory",0.118025
"70000950000","70200","Alice Springs (T)","7","Northern Territory",0.0375902
"70000960000","70200","Alice Springs (T)","7","Northern Territory",0.0537686
"70000970000","70200","Alice Springs (T)","7","Northern Territory",0.0606025
"70000980000","70200","Alice Springs (T)","7","Northern Territory",0.0368281
"70000990000","70200","Alice Springs (T)","7","Northern Territory",0.0401568
"70001000000","70200","Alice Springs (T)","7","Northern Territory",0.0517679
"70001010000","70200","Alice Springs (T)","7","Northern Territory",0.0558724
"70001020000","70200","Alice Springs (T)","7","Northern Territory",0.0583589
"70001030000","70200","Alice Springs (T)","7","Northern Territory",0.0604518
"70001040000","70200","Alice Springs (T)","7","Northern Territory",0.0700973
"70001050000","70200","Alice Springs (T)","7","Northern Territory",0.0609255
"70001060000","70200","Alice Springs (T)","7","Northern Territory",0.0702182
"70001070000","70200","Alice Springs (T)","7","Northern Territory",0.0740186
"70001080000","70200","Alice Springs (T)","7","Northern Territory",0.0240694
"70001090000","70200","Alice Springs (T)","7","Northern Territory",0.965682
"70001100000","70200","Alice Springs (T)","7","Northern Territory",0.0398797
"70001110000","70200","Alice Springs (T)","7","Northern Territory",0.032829
"70001120000","70200","Alice Springs (T)","7","Northern Territory",0.0341834
"70001130000","70200","Alice Springs (T)","7","Northern Territory",0.0349695
"70001140000","70200","Alice Springs (T)","7","Northern Territory",0.0368839
"70001150000","70200","Alice Springs (T)","7","Northern Territory",0.034108
"70001160000","70200","Alice Springs (T)","7","Northern Territory",0.040163
